,,,,,,,,,,,,
Document linking code,"Date
","Case Name or Number
[Docket Number]","Expert Presence
[Tag]","Who was the expert instructed by?
[Tag]",Court,Jurisdiction,"Online link to the judgment
[Url]","Keywords
[Tag]","Area of law
[Tag]",Summary,Language,Comments
MT037,2013.01.24,38/2012,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=78863,Annulment; Marriage of convenience; Islam; cultural differences; religion; children,family law,"The plaintiff requested the dissolution of marriage from her Libyan husband. The couple had met two years prior to marrying and at the onset the plaintiff did not know about the problems regarding the defendant’s legal status. Sometime later, she discovered that he was working in Malta illegally and if caught would be deported back to his home-country. At this point the plaintiff started going to the Immigration Department to help the defendant extend his visa, something she claimed to have found very stressful. The parties decided that they could only regularise the defendant’s long-term position by getting married. The plaintiff said that the defendant pressured her in this regard and insisted that the marriage should occur before Malta’s ascension into the European Union as from that day onwards there would have been more stringent rules regarding the issue of visas. She claimed that although she felt she was marrying out of love, she could not get herself to tell her family as she knew they would disapprove. The plaintiff admitted that before marrying the couple only discussed about marriage and residence without talking about married life, family or the future. Indeed, because the marriage was carried out in secret, the couple spent a few years living apart. The plaintiff noted how even after starting to cohabit, her husband maintained the same life he had before, leaving financial responsibility in the hands of his wife, while he spent most of his time with his friends and often arriving home very late at night. In addition, while before marriage he seemed open-minded about the plaintiff’s differing culture and religion, she felt that his attitude changed and these differences started being an issue of contention. She complained that he placed his family first and demanded that the plaintiff stop consuming certain foods and begin observing Ramadan. The plaintiff claimed that she realised many years later that the defendant tricked her into marriage solely to obtain Maltese citizenship and the attached benefits. The defendant on his part agreed to the request for annulment but rejected the idea that he had any concerns regarding his legal status in Malta and said marriage had been the plaintiff’s idea. He believed that her family had objected to their marriage due to their racial and religious differences and that the marriage had ended up collapsing because she had refused to have children, probably due to pressure from her family who did not wish their children to be Muslim. The court found that both testimonies proved that neither party had the intention of forming a family and the bond required by marriage. The defendant’s legal status in Malta seemed to be their sole motivator and the fact that they had spent the first years after marriage living apart clearly showed how they had not established the conjugal life required by marriage. The court therefore acceded to the plaintiff’s request by declaring the marriage null while ordering court expenses to be borne by the defendant.",Maltese,
MT038,2017.05.04,110 / 16RGM,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=106351,Annulment; Marriage of convenience; cultural differences; understanding of marriage,family law,"The plaintiff requested the dissolution of marriage from her Turkish husband. The defendant had arrived in Malta due to family issues and when in Malta, he found out that his brother had a food joint of his own. The couple then met at a Turkish food establishment owned by the defendant and started dating soon after. During their courtship of about nine months the plaintiff had started working on a part-time basis at the takeout of the defendant’s brother, and the two started each other daily, as he had even stopped working at his establishment to spend time with the plaintiff. When he asked her to marry him the plaintiff hesitated as her family greatly disapproved. In her statement, the plaintiff’s mother said that they had opposed her hurried marriage because the defendant was a foreigner and of differing culture. After first refusing, at a first instance, the plaintiff went along with the marriage in order to “rebel against her family” and the nuptials were carried out in secret. A few days later, they rented an apartment and found out that her husband was still without a work permit. The newly-wed wife said that her husband’s attitude changed completely after going to the Department for Citizenship and Expatriate Affairs and receiving assurance that he would be obtaining all the work and residence permits. From that moment onwards he started returning home in the early hours of the morning, and after two weeks of being ignored, the plaintiff returned to her mother who welcomed her back. She recounts how a few days later the defendant had gone to her parents' home to tell her that he did not need her anymore as he was going to be given all the permits he necessitated. The defendant then left for his home-country, returning for a short period of time but leaving again when his business venture failed. At the time of court proceedings, the plaintiff had not seen the defendant for seven years. The court felt that it was evident that this was a marriage of convenience which only served the defendant’s goal of obtaining citizenship rights, as proved by his own admission and change in attitude after marrying. The court said that at no moment did the defendant have the intention of observing the consortium vitae and therefore declared the marriage null and ordered court expenses to be borne by both parties.",Maltese,
MT039,2003.06.15,312/2002/1,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=18530,Annulment; cultural differences; vitiated consent; understanding of marriage,family law,"The plaintiff requested the court to nullify his marriage to his wife on the basis that the consent of the defendant was vitiated. The plaintiff who is of Moroccan origin arrived in Malta at the age of twenty and was introduced to the defendant, eighteen at the time, by his sister who was her co-worker. They started dating soon after and four months later started living together in the house of the plaintiff’s sister. The couple got married after eight months courting with the plaintiff accusing his wife of being rash and doing things without thinking of the consequences such as her describing marriage as ‘a piece of paper’. The plaintiff accused the defendant of changing after marriage; becoming possessive and jealous and finding great issue with the long hours the plaintiff spent training for athletics. She was not used to living alone and remained heavily dependent on others to do things for her. The plaintiff complained that the defendant often went out on her own and accused her of adultery, which she vehemently denied until she fell pregnant and could no longer conceal her infidelity. On her part, the defendant stated that her family had immediately shown opposition to her relationship with the plaintiff because he was a foreigner. They warned her about an inevitable clash due to their differing cultures and religions and told her that the plaintiff would give her little importance because he could marry a total of seven women. The defendant objected to her family’s intromission and argued that she left the family house and went to live with the plaintiff to spite her family. The defendant accused the plaintiff of restricting her social life, entertainment choices and use of make-up. She said that she started seeking other men to compensate for the lack of attention she received from her husband while simultaneously admitting being immature and entering marriage without due consideration. Additionally, she claimed she suspected that he had married her to secure his residence in Malta through obtaining citizenship. The court observed that both parties had entered marriage without considering the responsibilities marriage brought with it. Court argued the defendant acted egocentrically throughout the relationship and the plaintiff seemed content and comfortable with the situation. The court annulled the marriage while imputing responsibility on both parties and ordering court expenses to be divided equally.",Maltese,
MT040,2020.03.05,171/2015 AGV,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=120956,Annulment; Syrian culture; cultural differences; custody; matrimonial home; separation of assets,family law,"The plaintiff requested the court to grant her separation from her defendant husband, together with the separation of assets obtained during marriage, sole access to their residence, custody of their only daughter and a monthly maintenance from the defendant in favour of the plaintiff. The defendant, born in Syria to Palestinian parents, married the plaintiff after a one-year courtship, three years after he arrived in Malta. The marriage occurred after he was brought in by police and ordered to regularise his legal status within three months or face deportation. The marriage was carried out in secret because the plaintiff’s parents disapproved as they felt that the defendant was using their daughter in order to remain in Malta. Due to financial difficulties, the plaintiff and their daughter of six months agreed to go live for a period with the defendant’s relatives in Syria. The plaintiff alleged that the defendant’s family members took her passport and did not allow her to leave, at which point her parents in Malta contacted the Maltese Consulate in Syria and travelled to the country in order to get them back. According to the plaintiff, the relationship broke down because the defendant’s attitude changed after marriage, becoming distant, possessive and aggressive while hiding money from their grocery business. The plaintiff also claimed that a further strain on the relationship was the situation of their daughter. When she was two years old, they went for a holiday in Syria, at which point the defendant recommended that they leave their daughter behind for a year, something the plaintiff had initially agreed to. However, by the time of sentencing, the court noted that their daughter had not yet returned from Syria and, apart from regular video chats, had not met her parents for twelve years. Their fourteen-year-old daughter had not been brought back to Malta because both parents needed to go to do so but the father could not travel to Syria because he did not have a Syrian passport as he had not completed military duty, and meanwhile a civil war had broken out making travelling to Syria dangerous. In addition, the court noted that Syria was not a signatory to the Hague Convention, raising concerns about the treatment that their daughter might receive should she be abducted. In his version of events, the defendant believed that the plaintiff’s family disapproval of their relationship was due to their racist beliefs as they did not wish her to marry a foreigner of differing religion, even though he had always loved and respected his wife. He refuted the plaintiff’s claim to their home and said that he should receive custody of their child as she was raised in Syrian culture and would find it difficult to adapt to life with her Maltese family. The court found the defendant guilty of mistreatment and excesses towards his wife and described him as manipulative who took advantage of a naïve woman. The court argued that the defendant said he came to Malta in search of a better life while at the same time thinking that it was in his daughter’s best interest for her to continue living in a war-torn country. The court agreed that the child was to be brought back to Malta and custody given to her mother, with the defendant only given access during supervised visits, while granting the plaintiff sole access to the family home. In addition, the defendant was ordered to pay a monthly maintenance of €200 and divide the money he had deposited in bank accounts and which were obtained during marriage. Court expenses were to be borne by the defendant.",Maltese,
MT041,2002.10.10,422/1999/1,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=13076,Annulment; vitiated consent; Egyptian; understanding of marriage; marriage of convenience,family law,"The plaintiff requested the court to declare the marriage to her Egyptian husband null. The plaintiff recounted how she had met the defendant during a very vulnerable period in her life, when the father of her two children had just abandoned her and she was living in her mother’s home together with her brothers who were getting themselves in constant legal trouble. The plaintiff then received a call from a friend to tell her that there was an Arab man who wanted to get to know her after seeing her out on the street with the children. The plaintiff argued that she initially hesitated because she could not fathom why someone would be interested in her considering that she had bad teeth, but she went along with it a few days later. Upon meeting, the defendant told her he had his family in Egypt but travelled to Malta every fortnight, thus explaining his fluency in the Maltese language. Barely half an hour had passed that he asked her to marry him, telling the plaintiff that Arabs married on the whim and did not ponder about it much. He promised on the Quran that he would financially provide for her and her children while finding accommodation for them to live in as one family. The plaintiff took two days to think it through before acceding to the defendant’s request. The day they married, the defendant went to apply for citizenship while promising the plaintiff that he would call her the following day. The defendant did call and told her that he needed to travel to his home country and that was the last time she ever heard from him. The court found that the plaintiff had followed the civil marriage rites but lacked the will or sense of discretion on married life, while the defendant had taken advantage of a vulnerable single mother by promising her all she desired with the sole intention of gaining Maltese citizenship. The court concluded the marriage as a marriage of convenience and granted the plaintiff’s request by declaring the marriage null, with court expenses to be borne by the defendant.",Maltese,
MT042,2016.01.20,50/14 AL,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=98603,Annulment; vitiated consent; Muslim; Hungarian; understanding of marriage,family law,"The plaintiff requested the dissolution of marriage from his Hungarian wife on the basis that her consent was vitiated. The couple had met on their workplace and spent long hours in each other’s company as they worked the same work shift. They soon started dating but the plaintiff, being of Muslim faith, informed the defendant that his culture did not permit him a long courtship and therefore urged them to get married. The couple celebrated nuptials some six months after first meeting and a friend of the plaintiff declared under oath that she had seemed happy on the day. After marrying, they both went to live at the plaintiff’s apartment but a week later she told her husband that she wished to visit her family in Hungary for a couple of weeks and required some money. Upon arriving in her home country, she called her husband to tell him that her family disapproved of her hurried marriage to a Muslim man and told him that she would be spending more time there than originally planned. They communicated via Skype for four months after which point she informed him that she did not intend on returning and wanted a divorce. The plaintiff’s attempts to convince her otherwise proved futile and he soon lost all contact. The court found that the defendant did not give the marriage the time necessary for it to flourish and it was reasonable to imagine that she had never intended on remaining married for long. Even though the marriage was a hurried one, the plaintiff seemed to know the rights and obligations of married life while the defendant did not quite comprehend what she was consenting to. The court therefore acceded to the plaintiff’s request by declaring the marriage null and ordering court expenses to be borne by the defendant.",Maltese,
MT043,2014.07.10,948/2013,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=88996,Name change; Registration; Buddhism name; Abbreviation; birth certificate; public Registry,administrative law,"The plaintiff requested the court to change his name to a name he was popularly known by. He requested that the changes be carried out on his birth certificate and consequently in all other official documentation. The plaintiff explained that he was born and registered in one name but years later came to be known, in society as well as on the workplace, by a different name. This change, he explained, was brought about upon by his conversion to Buddhism during which spiritual rite it is customary to be given a Tibetan name, which in his case was R. D. O. J.  He added that it was common among Tibetans to abbreviate the name. When asked by the court why he did not adopt the name in its entirety, the plaintiff explained that he made the choice for practicality since he lived in Western Culture and felt that the one-syllable name would be a good adaptation. He added that he does not identify with the given name and that the name felt foreign. The Director of Public Registry objected to the proposed change and quoted the law in question which specifically prohibited any changes from occurring if this simply involved shortening or abbreviations of the name registered at birth. The Director presented a search from three different websites which all stated that that name is the English language diminutive of another name and discussed German and Dutch abbreviations. A judicial request for name change, claimed the defendant, is permissible only to remove confusion regarding the identification of a person, while in this case persons who knew the plaintiff by that name would certainly not be confused upon reading his actual as that could be simply an abbreviation. In addition, no error had occurred during registration of his name at time of birth and therefore the defendant was not liable for any court costs incurred. The court concurred with the defendant’s position stating that apart from the specific mention in the cited law which prohibited names changes from occurring for abbreviations, corrections are only allowed if mistakes had taken place or when as time goes by the registered name gets to be known differently. The court noted how this was not the case and added that the fact the plaintiff did not use the Tibetan name in its entirety further discredited his claim. The court therefore rejected the plaintiff’s requests and ordered him to pay court expenses.",Maltese,
MT044,2008.12.11,152/2008,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=52359,Annulment; vitiated consent; Syrian; baptism; children; violence; understanding of marriage,family law,"The plaintiff requested the dissolution of marriage from her Syrian husband on the basis that his consent was vitiated. The couple had married after a courtship of six years, during which period the defendant had not been entirely candid with the plaintiff. He had initially told her that he was a Spanish citizen and had not told her that he was already married to another Maltese woman, a fact she found out only after his wife came knocking at the plaintiff’s door. The plaintiff however forgave the defendant and he subsequently obtained a divorce from the Islamic Court of Latakia in Syria. The plaintiff put forward a number of conditions prior to getting married and these included raising their children in the Christian faith and obtaining financial security allowing them to secure a comfortable life and private schooling. The defendant agreed to these requests and had signed a document obligating himself, should they have children, to raise them in the Christian faith. The couple subsequently got married in Church and their first children, born less than a year later, was baptised in accordance with Christian tradition. Things quickly turned sour, with the plaintiff stating that the defendant changed dramatically after marriage becoming very aggressive with multiple police reports filed detailing acts of violence perpetrated by the defendant. The family’s finances rested entirely on the shoulders of the plaintiff with very little contribution from the defendant who instead preferring to send money to his home country in aid of his parents and brothers. He also came short of his religious obligations, barring his daughter from carrying out her First Communion and Confirmation, with the former being carried out in secret to the fury of the defendant. The plaintiff also reported various threats issued by the defendant to their daughter ordering her not to attend mass or catechism. The court found that the defendant had been deceitful straight from the onset of their relationship and that he did not abide by marriage obligations founded on respect and love between the couple, but instead married solely for his egoistic purposes. The court acceded to the plaintiff’s demands, declaring the marriage null and ordering court expenses to be borne by the defendant.",Maltese,
MT045,2007.05.25,362/2004/1,,,Qorti tal-Appell (Kriminali),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=43471,Annulment; vitiated consent; cultural differences; Muslim; family pressure; arranged marriage; understanding of marriage,family law,"The plaintiff appealed against a lower court judgement that rejected the request for annulment. The couple had married five months after first acquainting and both were in agreement that they had married so the defendant would be allowed to stay in Malta. The Libyan defendant had found great opposition from his family who did not approve of his relationship with the plaintiff, a person of differing culture and religious belief. Upon discovering of their relationship, his uncle fired him from work and his father had arranged for him to be betrothed to a total stranger, as was expected from the eldest son of the family. A few days before the arranged engagement, the defendant fled the country into the arms of the plaintiff. He was on a 2-week visa and they reasoned that the only way for him to remain in Malta and escape his family’s grasp was for them to get married. Upon informing his family of his decision to marry in Malta his father told him that he had been disinherited, but the couple nonetheless went along with the marriage. The defendant however found it difficult to adapt to life in such a foreign culture and had encountered problems at work. In addition, the plaintiff had insisted that they buy an apartment of their own and the financial burden placed further stress on their relationship with both parties accusing each other of infidelity. The lower court had found that it had not been proven that there was any defect of discretion of judgment or lack of reflection; indeed, notwithstanding their short courtship, all evidence pointed towards the fact that the couple had married out of love and conviction. The court had pointed to their affidavits in which they stated that before marrying the plaintiff had asked the defendant if he felt ready for marriage, at which point he had answered that he was, aided by the fact that he came from a culture that gave priority to the family and little time to personal enjoyment. The lower court argued that this fact shows they were well aware of the duties of marriage and the difficulties they encountered were attributable to a wrong life choice for which separation and not annulment applied. The Court of Appeals found issue with this interpretation, stating that the pressure the defendant was put under by his family and his will to escape their impositions, certainly affected his thinking process and thus consent was vitiated by a serious defect of discretion of judgment on the matrimonial life or on its essential rights and duties. The court therefore acceded to the plaintiff’s demands by declaring the marriage null with court expenses to be divided equally between the parties.",Maltese,
MT046,2006.02.24,297/2005,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=35821,Annulment; vitiated consent; cultural differences; understanding of marriage; children,family law,"The plaintiff requested dissolution of marriage from his foreign wife on the basis that her consent was vitiated. The court found that the plaintiff had succeeded in proving that the defendant had married solely to obtain residency rights in Malta and that she had never intended on having children, a fact, said the court, that deserves annulment in its own right. The court concluded that the defendant’s attitude seemed to be influenced by her country’s culture whereby marriage annulments can be obtained with relative ease, while at the same time the plaintiff proved himself to be immature and blinded by infatuation towards the defendant, as he should have taken note of the numerous red flags prior to marrying the defendant. The court acceded to the plaintiff’s request by declaring the marriage null and ordered the court expenses to be divided equally between the parties.",Maltese,
MT047,2006.01.25,19/2002/1,,,Qorti Civili Prim Áwla (Gurisdizzjoni Kostituzzjonali),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=35165,Citizenship; born out of wedlock; children; paternity; British,constitutional law,"The plaintiff instituted a constitutional case, as curator ad litem of her underage child, against the Attorney General, Minister for Internal Affairs and the Director of Citizenship and Expatriate Affairs, accusing them of impinging on the child’s Fundamental and Constitutional Rights as found in the Maltese Constitution and the Convention for the Protection of Human Rights and Fundamental Freedoms. The child was a British national, a son to a British mother and an estranged Maltese father. The couple had a relationship that lasted for four years, but which ended once the woman fell pregnant. She gave birth to their child in Scotland and from that moment on she strived to obtain Maltese citizenship for her offspring as she wished to expose him to both cultures and provide him with all the opportunities given to both British and Maltese Citizens. At the time, Article 17(1)(a) Chapter 188 of the Laws of Malta stipulated that if a child was born out of wedlock they automatically took the mother’s surname, with all reference to the father expunged. This stood at odds with Article 5(2)(b) of the Laws of Malta which stipulated that every child born in Malta or abroad was to be given Maltese citizenship at birth if at least one of the parents was Maltese. At first, she was reassured by Maltese Authorities that citizenship would be offered if she could prove the paternity and if consequently the Scottish birth certificate was registered also in Malta. After failing to solve the issue directly with her ex-partner, the plaintiff resorted to instituting legal proceedings during which a DNA test confirmed the Maltese national as the child’s father and stipulated the maintenance costs. However, when the plaintiff attempted to register the child’s updated birth certificate which listed the father as indeed the Maltese national, the Public Registry had explained to her that in order to register the child’s birth certificate in Malta, the child would need to have Maltese Citizenship. It was explained to the plaintiff that the Maltese Parliament never had the intention of conferring Maltese citizenship to the “illegitimate” children of Maltese men. The plaintiff was left with no other option but to open proceedings against the unconstitutionality of such a law, arguing that it discriminated against children born out of wedlock. The State justified its stance with regard to Maltese Law, adding that citizenship is not a right derived from the Convention as it is not considered a ‘fundamental’ right. The court delved into Article 45 of the Maltese Constitution which legislated against discrimination. The court found that Article 17(1)(a) of Chapter 188 of the Laws of Malta was indeed discriminatory based on sex and therefore in violation of the Maltese Constitution, ordering court expenses to be borne by the defendants and a copy of the sentence to be sent to the Speaker of the House of Representatives of Malta for the necessary amendments in the law.",Maltese,
MT048,2006.01.11,  11/2005,,,Qorti Civili (Sezzjoni tal-Familja),Gozo,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=34977,Annulment; vitiated consent; Muslim ; marriage of convenience; legal status,family law,"The Syrian plaintiff requested the dissolution of marriage from his Maltese wife on the basis that her consent was vitiated. The couple met on the bus when the plaintiff was thirty-one years old and the defendant was eleven years older. They married less than six months after getting to know each other, but their courtship lasted no more than half that time as at a certain point the plaintiff had left for a few months for his home country. The plaintiff was a non-practicing Muslim and the marriage was a very casual affair with only the witnesses present and with both parties returning to work after the celebration was over. No reception or honeymoon ever occurred, instead both went abroad with the defendant going on a pre-planned holiday with friends and her newly-wed husband travelling in order to end his employment at sea. The marriage started turning sour after around four years of marriage with the defendant professing that he spent too much time with his friends. On his part, the plaintiff lamented the fact that he did not find in his wife the partner he had wished for as she did not provide the support, intimacy and communication one is permitted to expect in marriage. They gradually drifted apart from each other until the defendant found out about her husband’s infidelity, at which point they filed for separation. The plaintiff had immediately made it clear that he did not wish to have children due to the advanced age of the defendant and indeed no children resulted after ten years of marriage. The court found that even though the defendant did not make any claims in this regard, it was evident that the sole interest of the plaintiff was the obtainment of residency and labour rights, as often occurs with people arriving from less developed countries, said the court. The court pondered on why a thirty-year-old in the prime of his life would be attracted so fiercely to a forty-two-year-old woman if not to obtain citizenship. And indeed, his wish not to have children should be seen in this light said the court, claiming that the plaintiff can be seen as a person who wants to avoid family ties in order to return to his home country and start life anew at whatever point he wanted. The court argued it was clear that the plaintiff lacked the commitment or wish to help, respect and self-sacrifice for the defendant. The court continued that the plaintiff on her part proved to be immature in spite of her age and succumbed to pressures to get married, ignoring the words of advice from her family members who had suspected the plaintiff’s real intentions. The court argued that she entered a marriage with a much younger person with differing religious and cultural beliefs, without properly evaluating the consequences and therefore lacked the sufficient maturity to judge, reason, and make a practical evaluation of the nature and essential obligations of marriage. The court judged that since it had already been proved that the marriage was vitiated by a serious defect of discretion of judgment on the matrimonial life, it was not necessary to analyse the other grounds of annulment and acceded to the plaintiff’s request for annulment and ordering court expenses to be divided equally by the parties.",Maltese,
MT049,2004.01.29,1341/2002,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=22887,Annulment; vitiated consent; Egyptian husband; marriage of convenience; legal status,family law,"The plaintiff requested the court to nullify the marriage to her defendant husband. The plaintiff met the defendant of Egyptian origin, a few months after the death of her previous husband who had left her alone caring for three children. The plaintiff’s deceased husband had been the sole breadwinner and his death flung her into financial difficulties as she had never worked before and at the same time had three young children to care for. In addition, her two male children had started frequenting the wrong crowd and were having frequent run-ins with the police. The parties in this case were introduced by a common friend who asked her if she wanted the company of an Arab man and although she was still grieving her husband’s death, she claimed to have agreed to meet him because she longed for someone who would help her raise her children while at the same time providing financial security. The defendant travelled regularly to Malta and he surprised her by how well he spoke Maltese. Few minutes had passed during their first encounter when the defendant asked her to marry him. This surprised her, and while not immediately accepting, she agreed to go along with the marriage after only two weeks of courtship. He had assured her that he was very rich in his home country and that he would provide more than enough for her and her children. He also promised to take her with him to Egypt to see his family, something that excited her as she had never been abroad. Her daughter objected to her mother’s marriage and told her that she had heard stories of locals marrying Arabs who quickly find out that they had only done so in order obtain citizenship. The plaintiff however went along with the marriage as she felt lonely and longed for the financial help he had promised her. He refused to marry in Church, telling the plaintiff that his Muslim religion did not allow him to do so. The plaintiff did not see or hear from the defendant for two days after the nuptials were celebrated and when they did finally meet the defendant asked her to sign some papers for him regarding his legal status. He told her that he needed to visit his home country but would remain in contact with her and send her family money. That was the last time she heard from him and had lost all contact at the time of proceedings which took place eleven years later. The plaintiff confessed that the marriage had never been consummated and in actual fact she never even had the opportunity to kiss him. The court found that this was a clear case of a marriage of convenience and granted the plaintiff’s request for the annulment of the marriage, with court expenses to be borne by both parties. The defendant did not take part in proceedings.",Maltese,
MT050,2003.05.29,1546/2000/1,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=17914,Annulment; vitiated consent; Tunisan husband; marriage of convenience; legal status,family law,"The plaintiff requested the court to nullify her marriage to her Tunisian husband, with expenses to be borne by him. When the couple had first met, the defendant had been trying to remain in Malta as he sought to avoid compulsory military service in his home-country. The defendant then left for about a year and upon returning when he was twenty-four years of age, he quickly convinced the plaintiff, which was sixteen at the time, to marry him. They married by civil union as she was too young to marry by religious rites but the defendant promised the plaintiff that when she got older they would marry even in Church. After marrying they went to live with the plaintiff’s parents and spent a year there, after which point the defendant left the household and started renting a place for himself and never invited the plaintiff to live with him. The plaintiff said that they were different from other couples in the fact that they rarely went out together and the moments of intimacy were few and far between. Although he lived on his own, it was the plaintiff that paid rent and he continued to be financially dependent on her. In addition, he rarely contacted his wife and would visit her at her parent’s home once every month. The marriage ended when the plaintiff confirmed her husband’s infidelity by questioning a woman whose car would often times be parked in front of the defendant’s residence. The court was of the opinion that the defendant had entered into the contract of marriage with no intention of adhering to the essential elements of marriage as requested by the law. It was clear, said the court, that the defendant’s plan all along had been that to obtain a Visa while retaining the life of bachelor, thus excluding a priori the long-lasting union that is required by marriage. The court concluded that it was a clear case of a marriage of convenience and therefore granted the plaintiff’s request by declaring the marriage null with court expenses to be divided equally between both parties. The defendant did not participate in proceedings.",Maltese,
MT051,2001.01.18,1790/2000/2,,,Qorti Civili Prim' Awla,Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=91886,Migration; Removal order; Moroccan partner; pregnant; fetus; refugee status,Immigration law,"The plaintiff, a Maltese national, instituted proceeding against the Police Commissioner in the office of Principal Official of Migration to inhibit him from mandating or carrying out a removal order of the plaintiff’s partner, a Moroccan national. The plaintiff’s argument was that his partner was five months pregnant with his child and sending her back to her home-country would, due to family, cultural and religious issues, place the foetus in a clear and imminent danger as the woman would be forced into having an abortion. The defendant contested the plaintiff’s role in proceedings arguing that he did not have the judicial right to stand in the name of a third party while the plaintiff’s claims of paternity were premature as they could not be proven at that stage. In addition, it would compromise Malta’s fundamental right of state sovereignty and the law did not contemplate reunification of couples with an unborn child. The defendant argued that it was incorrect to say that the defendant was ordering the woman’s removal, as by law, a person who does not have a residence permit is considered to have never set foot on the Island and can remain solely to be sent back. The court allowed the plaintiff to stand in for his partner and their unborn child as it deemed him to have judicial, direct and personal interest in the proceedings. However, a court judgement on the matter proved redundant as the plaintiff’s Moroccan partner had been given refugee status while court proceedings were still underway and thus providing her with legal status to stay and allowing her to stay legally in Malta. Therefore, the court was left to decide on the costs and determined that they were to be divided equally between the parties.",Maltese,
MT052,2020.10.22,126/2015 AGV,,,Qorti Civili (Sezzjoni tal-Familja),Malta,https://ecourts.gov.mt/onlineservices/Judgements/Details?JudgementId=0&CaseJudgementId=123636,Separation; Egyption couple; care and custody; chilren; extra-marital affair; violence,family law,"The plaintiff requested the court to grant her personal separation from her defendant husband due to reasons entirely attributable to him. In addition, the plaintiff requested full care and custody rights, a monthly maintenance and the division of assets obtained after marriage. The defendant rejected responsibility for the failed marriage and the need for maintenance, while asking the court to share care and custody of their children. The couple, both Egyptian nationals, met in their home-country and had three children together, the first of which was born a year and a half after they started dating. The defendant travelled often to Malta due to work commitments and was very domineering while expecting the plaintiff to do exactly as he said. He sent money back home on a monthly basis but these were not sufficient to cover the costs and she had to resort to asking money from her family. The plaintiff would not see her husband for many months on end and whenever she offered to follow him to Malta he always refused. Her culture, she said, did not permit her to have other relationships or fall pregnant from another man and therefore she was forced to accept the situation for the family’s sake. There were also numerous instances she said, in which the defendant was violent towards her but she always ended up forgiving him. The plaintiff also blamed her family who would lock her up and shout at her when she showed interest in somebody else and pressured her to save her relationship with the defendant. After the Egyptian revolution of 2011 the couple got formally married and registered their union in Malta. Once in Malta, a woman would regularly come to their family home to cook and clean. After a while the plaintiff realised that this woman was in an intimate relationship with her husband. At this point, the violence increased and reached the epitome when one day he attacked her with a knife. Subsequently, the plaintiff left the household and contacted the police who issued a protection order in her favour. She spent two years raising her children in a shelter for the displaced and it was here that she gave birth to their third child. In the meantime, the defendant lost access to the children and at the date of sentencing had not seen his children for four years. The defendant missed most of the proceedings but refuted the claims that he was ever violent or had extra marital relations or that he did not provide adequate financial support to his family. The court found that the plaintiff had not been there for his wife and children right from the start, as opposed to the plaintiff who always did her utmost to raise her children. The court acceded the plaintiff’s request by granting personal separation together with full care and custody rights and a monthly maintenance. In addition, the court found that the home in which they resided in Malta, and in which the defendant currently lived, had been bought a few months after marriage even though the defendant had made it seem as though they were divorced. Therefore, the court considered the dwelling as a marital asset and allowed the plaintiff and her children to reside in it while ordering the defendant to pay the outstanding loan amount. Court expenses were to be paid by the defendant.",Maltese,
